3.271	-2.86	0.051
4.087	-2.82	0.050
4.394	-2.71	0.049
4.802	-2.92	0.050
5.500	-3.77	0.054
5.622	-3.91	0.059
5.713	-3.98	0.053
5.841	-4.23	0.052
5.875	-4.18	0.050
5.950	-4.26	0.059
6.495	-5.02	0.038
6.658	-5.22	0.061
6.871	-5.57	0.063
6.990	-5.54	0.068
7.014	-5.69	0.066
7.068	-5.68	0.069
7.195	-6.04	0.083
7.250	-5.95	0.063
